Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
1,1764450342.711312,0.000966084,0.000050363,0.000084726,0.000081060,0.000172077,0.001975687,1c20dd9bfaccf97f6b69117e82eba1c10dc6eff14b39a49cee9459f259a8e912
1,1764450465.3776693,0.000887058,0.000045694,0.000031599,0.000080759,0.000142874,0.000306285,cf72e54ffe3a204cef282e63dd5c827dcaee23f4c717cb309111296f05ba0d0e
2,1764450465.3796012,0.000024826,0.000016581,0.000067234,0.000030416,0.000031769,0.000040334,63cf9beaddefac89f15037ae5ba38ea8b50dd43ebfefc95b5e9ed24238c718c2
3,1764450465.3814344,0.000041156,0.000022021,0.000023303,0.000031007,0.000033202,0.000042989,d0756bdaa1b18e2bc16e49ebb2a2fa150898e0780e3c81463e961715e23ab0d9
4,1764450465.3834407,0.000024125,0.000017372,0.000026098,0.000052246,0.000051004,0.000067936,054a2a449df8323872747f2dc64ba600c32fab45819b7338a217cdac5d1fbb91
5,1764450465.3856816,0.000023864,0.000018183,0.000030777,0.000069989,0.000051114,0.000093593,6d88fcb129ecab98bebf8dfc15d3518b1376c925846ad732e5a2bdd49e8a8990
6,1764450465.388058,0.000025577,0.000016771,0.000045223,0.000064189,0.000060662,0.000079678,269c98d272275696573ddb4bee4fb2bbdc46ca3acd51e7248693a166e2fd4965
7,1764450465.3912425,0.000032901,0.000019195,0.000049511,0.000091850,0.000080699,0.000090697,f86174b92ffc755a04209fbebf7d159b2efe306641d875f9900bc7f9e6726179
8,1764450465.393665,0.000035656,0.000018885,0.000025617,0.000058307,0.000060381,0.000081160,a8be44a1dd460c65eff1e30d90bbfef9d1ef43419016e6011cb5a12b13a7b7ca
9,1764450465.3956003,0.000025948,0.000015869,0.000046946,0.000028132,0.000026468,0.000038441,be03875dc6e2a3dda7393f9b3d6f7e65a745f4cb77d2443b26d2d3ec4484b31a
10,1764450465.3980167,0.000034173,0.000017432,0.000049792,0.000031187,0.000031879,0.000086199,34bb1503ff8a8ce1303bd01d5af13b71cd240c2cb76e312eacdfb914206c0c31
1,1764450473.268633,0.000584469,0.000048449,0.000027621,0.000065591,0.000063126,0.000087562,addc2965b7163023873c0e32f7d1c791d1b5a5c5ad3da26e5a17a47abcaee10e
2,1764450473.271191,0.000024886,0.000016641,0.000130361,0.000050313,0.000047408,0.000068597,6cd49aee562c5f63d738ec3680d68d573121e1bda70a151fca39178912155cd6
3,1764450473.273033,0.000063868,0.000020387,0.000024085,0.000030486,0.000031969,0.000040294,03f741fd746d17feeafb3e446a1a7adb331a7ede2dc9395f4a571894c35b28cd
4,1764450473.2749817,0.000023914,0.000017032,0.000022682,0.000071832,0.000044392,0.000068687,8d824479d7926a57d6260e2d58af1c996ff3368b0623ec67f2b8badc5f65fb09
