Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764450307.0923402,server_kem_keygen,0.000705092,0.00,0.00,40120320,40812544,,800,800
0,1764450318.4037752,server_kem_keygen,0.000794677,0.00,0.00,40140800,40820736,,800,800
0,1764450334.6807642,server_kem_keygen,0.000916262,0.00,0.00,40026112,40706048,,800,800
1,1764450342.7091784,kem_handshake,0.000172077|0.000081060|0.001975687,0.00,0.00,43237376,43261952,768,768,1536
0,1764450437.1184583,server_kem_keygen,0.000572187,0.00,0.00,40050688,40747008,,800,800
1,1764450465.3766658,kem_handshake,0.000142874|0.000080759|0.000306285,0.00,0.00,43302912,43319296,768,768,1536
2,1764450465.378964,kem_handshake,0.000031769|0.000030416|0.000040334,0.00,0.00,43409408,43413504,768,768,1536
3,1764450465.3809733,kem_handshake,0.000033202|0.000031007|0.000042989,0.00,0.00,43425792,43425792,768,768,1536
4,1764450465.3828835,kem_handshake,0.000051004|0.000052246|0.000067936,0.00,0.00,43438080,43438080,768,768,1536
5,1764450465.385074,kem_handshake,0.000051114|0.000069989|0.000093593,0.00,0.00,43438080,43438080,768,768,1536
6,1764450465.3873506,kem_handshake,0.000060662|0.000064189|0.000079678,0.00,0.00,43438080,43438080,768,768,1536
7,1764450465.390367,kem_handshake,0.000080699|0.000091850|0.000090697,0.00,0.00,43438080,43438080,768,768,1536
8,1764450465.3930502,kem_handshake,0.000060381|0.000058307|0.000081160,0.00,0.00,43438080,43438080,768,768,1536
9,1764450465.3949323,kem_handshake,0.000026468|0.000028132|0.000038441,0.00,0.00,43438080,43438080,768,768,1536
10,1764450465.3971763,kem_handshake,0.000031879|0.000031187|0.000086199,0.00,0.00,43442176,43442176,768,768,1536
1,1764450473.2675097,kem_handshake,0.000063126|0.000065591|0.000087562,0.00,0.00,43446272,43446272,768,768,1536
2,1764450473.2701132,kem_handshake,0.000047408|0.000050313|0.000068597,0.00,0.00,43446272,43446272,768,768,1536
3,1764450473.2726102,kem_handshake,0.000031969|0.000030486|0.000040294,0.00,0.00,43446272,43446272,768,768,1536
4,1764450473.2744803,kem_handshake,0.000044392|0.000071832|0.000068687,0.00,0.00,43450368,43450368,768,768,1536
5,1764450473.275978,kem_handshake,0.000022301|0.000024586|0.000033882,0.00,0.00,43454464,43454464,768,768,1536
