Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562454.7527382,server_kem_keygen,0.001536057,0.00,0.00,39694336,40382464,,800,800
0,1764562454.7991388,server_kem_keygen,0.000884103,0.00,0.00,39809024,40505344,,800,800
1,1764562478.6766357,kem_handshake,0.000108310|0.000038511|0.000518578,0.00,0.00,42663936,42672128,768,768,1536
2,1764562478.679844,kem_handshake,0.000066603|0.000029415|0.000092791,0.00,0.00,42745856,42745856,768,768,1536
3,1764562478.6822317,kem_handshake,0.000045034|0.000022953|0.000046075,0.00,0.00,42749952,42749952,768,768,1536
4,1764562478.6841176,kem_handshake,0.000043020|0.000022852|0.000046156,0.00,0.00,42754048,42754048,768,768,1536
5,1764562478.6870646,kem_handshake,0.000053328|0.000027500|0.000088544,0.00,0.00,42758144,42758144,768,768,1536
6,1764562478.6893048,kem_handshake,0.000039463|0.000029344|0.000056294,0.00,0.00,42758144,42762240,768,768,1536
7,1764562478.6911047,kem_handshake,0.000033191|0.000021509|0.000042638,0.00,0.00,42766336,42766336,768,768,1536
8,1764562478.6931887,kem_handshake,0.000066803|0.000041456|0.000092551,0.00,0.00,42774528,42774528,768,768,1536
9,1764562478.6950455,kem_handshake,0.000032941|0.000021370|0.000057306,0.00,0.00,42774528,42774528,768,768,1536
10,1764562478.6963696,kem_handshake,0.000028623|0.000018704|0.000037640,0.00,0.00,42774528,42774528,768,768,1536
11,1764562478.6976008,kem_handshake,0.000024154|0.000016842|0.000036677,0.00,0.00,42774528,42774528,768,768,1536
12,1764562478.6990428,kem_handshake,0.000022953|0.000018113|0.000036237,0.00,0.00,42774528,42774528,768,768,1536
13,1764562478.7002873,kem_handshake,0.000023844|0.000018464|0.000042008,0.00,0.00,42778624,42778624,768,768,1536
14,1764562478.7019234,kem_handshake,0.000024916|0.000017924|0.000038602,0.00,0.00,42778624,42778624,768,768,1536
15,1764562478.705639,kem_handshake,0.000143696|0.000041447|0.000280188,0.00,0.00,42651648,42659840,768,768,1536
16,1764562478.7085488,kem_handshake,0.000071562|0.000040835|0.000059270,0.00,0.00,42737664,42737664,768,768,1536
17,1764562478.7107606,kem_handshake,0.000065691|0.000029524|0.000054570,0.00,0.00,42745856,42745856,768,768,1536
18,1764562478.7124505,kem_handshake,0.000029645|0.000018905|0.000040194,0.00,0.00,42745856,42745856,768,768,1536
19,1764562478.7137191,kem_handshake,0.000023483|0.000017443|0.000036146,0.00,0.00,42745856,42745856,768,768,1536
20,1764562478.7149785,kem_handshake,0.000022282|0.000018684|0.000034654,0.00,0.00,42749952,42749952,768,768,1536
21,1764562478.7161248,kem_handshake,0.000020187|0.000021891|0.000034203,0.00,0.00,42749952,42754048,768,768,1536
22,1764562478.7172983,kem_handshake,0.000021640|0.000017302|0.000033883,0.00,0.00,42758144,42758144,768,768,1536
23,1764562478.719084,kem_handshake,0.000075188|0.000032740|0.000056064,0.00,0.00,42782720,42782720,768,768,1536
24,1764562478.7202644,kem_handshake,0.000020658|0.000016320|0.000033312,0.00,0.00,42782720,42782720,768,768,1536
25,1764562478.7213297,kem_handshake,0.000020057|0.000016000|0.000032570,0.00,0.00,42786816,42786816,768,768,1536
26,1764562478.7227876,kem_handshake,0.000068497|0.000022782|0.000038761,0.00,0.00,42786816,42786816,768,768,1536
27,1764562478.723921,kem_handshake,0.000019516|0.000026880|0.000033291,0.00,0.00,42786816,42786816,768,768,1536
28,1764562478.7250245,kem_handshake,0.000019977|0.000015990|0.000033071,0.00,0.00,42786816,42786816,768,768,1536
29,1764562478.7260725,kem_handshake,0.000019235|0.000015379|0.000032981,0.00,0.00,42786816,42786816,768,768,1536
30,1764562478.7271311,kem_handshake,0.000018925|0.000015468|0.000033111,0.00,0.00,42786816,42786816,768,768,1536
31,1764562478.7284124,kem_handshake,0.000041737|0.000025136|0.000047057,0.00,0.00,42766336,42766336,768,768,1536
32,1764562478.7299528,kem_handshake,0.000026188|0.000017442|0.000035526,0.00,0.00,42766336,42766336,768,768,1536
33,1764562478.731265,kem_handshake,0.000023143|0.000017182|0.000039192,0.00,0.00,42766336,42766336,768,768,1536
34,1764562478.7324514,kem_handshake,0.000020348|0.000016791|0.000035476,0.00,0.00,42766336,42766336,768,768,1536
35,1764562478.7335603,kem_handshake,0.000019145|0.000015740|0.000033502,0.00,0.00,42766336,42766336,768,768,1536
36,1764562478.7349956,kem_handshake,0.000052718|0.000023664|0.000047849,0.00,0.00,42786816,42786816,768,768,1536
37,1764562478.7361386,kem_handshake,0.000019246|0.000015609|0.000033142,0.00,0.00,42786816,42786816,768,768,1536
38,1764562478.7372026,kem_handshake,0.000019255|0.000015498|0.000033061,0.00,0.00,42786816,42786816,768,768,1536
39,1764562478.7383072,kem_handshake,0.000018865|0.000015819|0.000037430,0.00,0.00,42786816,42786816,768,768,1536
40,1764562478.7395425,kem_handshake,0.000024886|0.000016561|0.000035085,0.00,0.00,42786816,42786816,768,768,1536
41,1764562478.74066,kem_handshake,0.000019115|0.000016079|0.000032960,0.00,0.00,42786816,42786816,768,768,1536
42,1764562478.7417495,kem_handshake,0.000019095|0.000015378|0.000033061,0.00,0.00,42786816,42786816,768,768,1536
43,1764562478.7428048,kem_handshake,0.000018895|0.000015278|0.000032810,0.00,0.00,42786816,42786816,768,768,1536
