Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764450307.1051145,server_rsa_keygen,0.009587110,0.00,103.70,42401792,42487808,
0,1764450318.4572697,server_rsa_keygen,0.050542977,0.00,98.70,42414080,42500096,
0,1764450334.7058842,server_rsa_keygen,0.021386956,0.00,92.90,42348544,42434560,
0,1764450437.1539078,server_rsa_keygen,0.032738424,0.00,91.40,42397696,42483712,
1,1764450489.7879002,rsa_handshake,0.000502578|0.000034915,0.00,0.00,44269568,44322816,512
2,1764450489.8485327,rsa_handshake,0.000574821|0.000120032,0.00,0.00,44331008,44331008,512
3,1764450489.9050746,rsa_handshake,0.000424474|0.000053248,0.00,0.00,44331008,44331008,512
4,1764450489.917587,rsa_handshake,0.000229573|0.000049050,0.00,0.00,44331008,44331008,512
5,1764450489.9315665,rsa_handshake,0.000313680|0.000086861,0.00,0.00,44331008,44331008,512
6,1764450489.9822311,rsa_handshake,0.000252556|0.000067354,0.00,0.00,44335104,44335104,512
7,1764450490.0095015,rsa_handshake,0.000528195|0.000120373,0.00,0.00,44335104,44335104,512
8,1764450490.0338264,rsa_handshake,0.000277613|0.000068035,0.00,0.00,44335104,44335104,512
9,1764450490.0850477,rsa_handshake,0.000480668|0.000058829,0.00,0.00,44335104,44335104,512
10,1764450490.1033282,rsa_handshake,0.000261473|0.000065130,0.00,0.00,44335104,44335104,512
11,1764450490.1354065,rsa_handshake,0.000416359|0.000057015,0.00,0.00,44339200,44339200,512
12,1764450490.162875,rsa_handshake,0.000481840|0.000103070,0.00,0.00,44339200,44339200,512
13,1764450490.207682,rsa_handshake,0.000295115|0.000052617,0.00,0.00,44339200,44339200,512
14,1764450490.268948,rsa_handshake,0.000252225|0.000059039,0.00,0.00,44339200,44339200,512
15,1764450490.2828417,rsa_handshake,0.000225977|0.000047829,0.00,0.00,44339200,44339200,512
16,1764450490.3143272,rsa_handshake,0.000278895|0.000069619,0.00,0.00,44343296,44343296,512
17,1764450490.3402593,rsa_handshake,0.000267474|0.000069709,0.00,0.00,44343296,44343296,512
18,1764450490.4110272,rsa_handshake,0.000553773|0.000114221,0.00,0.00,44343296,44343296,512
19,1764450490.4511192,rsa_handshake,0.000253248|0.000071683,0.00,2507.90,44343296,44343296,512
20,1764450490.474096,rsa_handshake,0.000236346|0.000050934,0.00,0.00,44343296,44343296,512
21,1764450490.5430796,rsa_handshake,0.000432699|0.000090447,0.00,0.00,44343296,44343296,512
22,1764450490.5955896,rsa_handshake,0.000489363|0.000119220,0.00,0.00,44343296,44343296,512
23,1764450490.6102705,rsa_handshake,0.000431347|0.000096839,0.00,0.00,44343296,44343296,512
24,1764450490.6607878,rsa_handshake,0.000427099|0.000085047,0.00,0.00,44343296,44343296,512
25,1764450490.7101333,rsa_handshake,0.000511254|0.000110014,0.00,0.00,44343296,44343296,512
26,1764450490.7251334,rsa_handshake,0.000429163|0.000084677,0.00,0.00,44347392,44347392,512
27,1764450490.750848,rsa_handshake,0.000433550|0.000085958,0.00,0.00,44347392,44347392,512
28,1764450490.7884276,rsa_handshake,0.000241415|0.000051595,0.00,0.00,44351488,44351488,512
29,1764450490.8174765,rsa_handshake,0.000283433|0.000052387,0.00,0.00,44351488,44351488,512
30,1764450490.835538,rsa_handshake,0.000232580|0.000050523,0.00,0.00,44351488,44351488,512
31,1764450490.8579197,rsa_handshake,0.000231658|0.000051385,0.00,0.00,44351488,44351488,512
32,1764450490.9132054,rsa_handshake,0.000320461|0.000054480,0.00,0.00,44351488,44351488,512
33,1764450490.933963,rsa_handshake,0.000539345|0.000036076,0.00,0.00,44351488,44355584,512
34,1764450490.9859636,rsa_handshake,0.000547070|0.000105034,0.00,0.00,44355584,44355584,512
35,1764450491.0188105,rsa_handshake,0.000254279|0.000064539,0.00,0.00,44355584,44355584,512
36,1764450491.036342,rsa_handshake,0.000435484|0.000084396,0.00,0.00,44359680,44359680,512
37,1764450491.0767734,rsa_handshake,0.000424133|0.000083814,0.00,0.00,44359680,44359680,512
38,1764450491.09785,rsa_handshake,0.000375103|0.000085879,0.00,0.00,44359680,44359680,512
39,1764450491.1407523,rsa_handshake,0.000438419|0.000085247,0.00,0.00,44359680,44359680,512
40,1764450491.1756315,rsa_handshake,0.000437829|0.000085388,0.00,0.00,44359680,44359680,512
41,1764450491.229442,rsa_handshake,0.000440053|0.000086550,0.00,0.00,44359680,44359680,512
42,1764450491.246867,rsa_handshake,0.000280819|0.000051455,0.00,0.00,44359680,44359680,512
43,1764450491.260568,rsa_handshake,0.000438800|0.000084767,0.00,0.00,44359680,44359680,512
