Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,server_sign_s,final_key_hex
1,1764562605.0024712,0.000896136,0.000048149,0.000030126,0.000083274,0.000186896,0.000310013,87836658506368f29a603c130e6295c811894c4875ae9ffe054f8ad6d7ce6ed3
2,1764562605.0047348,0.000029064,0.000017292,0.000057937,0.000041276,0.000055513,0.000085147,dc37de70cc3d47601f8725148faaa0f4de1ee34d733d68730da201c515ff41d4
3,1764562605.0060337,0.000040455,0.000021048,0.000022231,0.000016541,0.000020959,0.000033893,82500fc95174a8bbe57d95bc47be917912d7a73b507e53e53d27292c8aacb12b
4,1764562605.0076182,0.000021891,0.000016170,0.000020878,0.000043219,0.000069990,0.000065972,2cc99543c9222bd0e7ed1f5ecddad943d203f88a88e7effaf749b443139623f5
5,1764562605.008893,0.000021129,0.000015509,0.000021099,0.000017312,0.000021469,0.000033172,3402cd57a09d772b6c3df2affdd6bebd6c902cd2d37f4cb369700fcca3e41eb0
6,1764562605.0102725,0.000024194,0.000016751,0.000022472,0.000017001,0.000026109,0.000043982,10a797149d7466825663029f39c656fab0b12fee9899d0ef942f19d09d7b7424
7,1764562605.0117645,0.000022692,0.000015508,0.000020758,0.000017282,0.000029123,0.000034784,db85974c051b3d385eeea4ab19f0aba77ae67a4bdcb42f3820baba5d6354b42b
8,1764562605.01295,0.000023533,0.000016730,0.000021089,0.000016801,0.000021460,0.000033051,78862a7a243b95fe374b4c81576f4c1cafdb3dabed0eb362ea862016715ce69c
9,1764562605.0140386,0.000021309,0.000014918,0.000019586,0.000016651,0.000019546,0.000032780,cbceb8a1908bcd184a125a32e02c861f05e991e6d55911d79abc6cbc1094ae93
10,1764562605.0151143,0.000020227,0.000014437,0.000019266,0.000015609,0.000018875,0.000032681,fc4ec70fd3aa92143845de106ac2306c26fe23504241c1ddc18ef0c26b9dd695
11,1764562605.0165288,0.000019887,0.000014197,0.000019225,0.000040615,0.000055092,0.000065891,861b745ae98675cc9e1a5b27f53ca097325f30293901428a2aa852ce8780b3da
12,1764562605.0176225,0.000021089,0.000014507,0.000019516,0.000016189,0.000019876,0.000032430,979f16f3e72869d60503a12a3f08a94dd6c8feec9b520c31cb5ed0fe6798ca66
13,1764562605.0188096,0.000020007,0.000014477,0.000027922,0.000016411,0.000021429,0.000033452,e05e7a09e59ea6e4e1a35c7c92e3a2148b88036d056801eb87b5a8f32438b376
14,1764562605.0199635,0.000024645,0.000015659,0.000019636,0.000016030,0.000020608,0.000033973,82b378b50778f253878b609103fc788b683bacce4621789710f5bbef400275fc
15,1764562605.021038,0.000020238,0.000014617,0.000019626,0.000015739,0.000019076,0.000032641,60c193e44d5e65bb95cbdf1063ee4fbec42bc720f0fb57fbcc70e3ebf866c052
16,1764562605.0221238,0.000020127,0.000014326,0.000019636,0.000015830,0.000018915,0.000032790,c6a110146b3ca1e72bbf324d4f210eaefa26d41aea71d2bd77113f899a9a1440
17,1764562605.0236452,0.000020848,0.000014617,0.000018905,0.000065080,0.000024856,0.000066473,a9de221cb111553e9bc5d5865adb43e60348829e8f18cdba4bd148f4c36bbc85
18,1764562605.0248613,0.000019657,0.000014287,0.000018995,0.000027070,0.000066533,0.000041908,ab67507011a452faf978d0b67429a15656d3b554fd0d53d7f788267c96cb54e2
19,1764562605.02596,0.000020278,0.000014487,0.000019747,0.000016380,0.000019556,0.000037569,c7a212b6d9ef1f55bfc5c31de2d378cd48c976c3ec20db082df39130054357fe
20,1764562605.0273132,0.000019777,0.000014717,0.000027290,0.000023804,0.000021109,0.000036688,e6543d4fcc0bd3e66cc02b128c8a80ff091eab5600f04e28cb8a9f8662083b56
21,1764562605.0284529,0.000020939,0.000014537,0.000018834,0.000015769,0.000019486,0.000032870,577308def1165624d31b94cdd314b58df2d92ed697c1ce3ae7870f619e7fa594
22,1764562605.0295582,0.000019827,0.000015178,0.000018705,0.000015438,0.000019557,0.000032941,7a9192cadf74162b0868aa6ff66fa9438554a94f8364b631d09991ab63d6720d
23,1764562605.0306423,0.000019867,0.000014487,0.000018644,0.000015448,0.000019736,0.000032510,c9c4c941ba40614f0376abc51e2d9b49c69dea378e4c5c0356f45f55e0911731
24,1764562605.0316863,0.000020437,0.000014066,0.000018434,0.000015799,0.000019256,0.000032590,f314cab864e4167c04d39eda7badd5a0714920fd9d8339afc624d2e5d8f19989
25,1764562605.0328143,0.000020258,0.000014878,0.000018615,0.000020488,0.000026509,0.000041457,c6196c62e8598dffa6a02c2b9cff68cb3748ffab1533a291120876f6bb148dd3
26,1764562605.0339458,0.000020387,0.000014487,0.000018985,0.000015609,0.000048871,0.000033281,6d8d4cca58796d93e35216d49d02a666d8f340fc78525fd9f45c2a5679580390
27,1764562605.0351534,0.000020347,0.000014567,0.000020759,0.000020568,0.000022070,0.000062566,38562a8fb92e43ced469dd8efb3cff1d50d7be1ec2094fc01d9fb487c95d1ce0
28,1764562605.0363293,0.000021059,0.000014517,0.000018845,0.000016029,0.000021350,0.000033963,03270050ff51474224e89109a6bdccd04c6618c8c76ac7b5b754c1718a27f99e
29,1764562605.0374055,0.000020348,0.000014627,0.000019205,0.000015789,0.000019235,0.000032741,e4bd332b2d6b7783b3b93c31ac89422a8099fb854bb292670b201d74c062c918
30,1764562605.038447,0.000020047,0.000013875,0.000018785,0.000015779,0.000018935,0.000032530,60675ceea9041b18c9718b659da1c567b38684f049efd822d6e2bd821858da8c
31,1764562605.0394993,0.000020127,0.000014918,0.000019016,0.000015077,0.000018694,0.000032460,d2f336ca16f6b69586d41008e8f1876084e9388b50feeaf9901e9c9e4f76a347
32,1764562605.040543,0.000020047,0.000014407,0.000018714,0.000016160,0.000018424,0.000032560,f641ffbfaab8bf9162fe206b1ab450ada2fa53b30e06b40736baed9c22ce2714
33,1764562605.0416818,0.000019596,0.000013876,0.000018885,0.000017402,0.000025567,0.000033201,61b4249832ab96fb702420f45d9df4cf28accd0aca58a3380e50d2090e6ab60c
34,1764562605.042764,0.000020518,0.000014296,0.000019096,0.000015849,0.000019236,0.000032109,67c8a2d24c1f954cf80b7ad49576bac213fb73fbe348fc681697466bf454a3e7
35,1764562605.044112,0.000020147,0.000014647,0.000023233,0.000016120,0.000021099,0.000035335,2fa44f3a8646d69c735fcf941a2c3340277c790d485c870aeba445693b976f3e
36,1764562605.045231,0.000021480,0.000014937,0.000019205,0.000015969,0.000019997,0.000032890,29a5ecf2dd5252f8e86ce9be4029d123f0721b50e7eaa007e3d7c56ec66b2cb4
37,1764562605.0463347,0.000020227,0.000014987,0.000019286,0.000015839,0.000019466,0.000033021,4dbd31d674ccebe22198450e5e3d17dff43b846c2b999a727d2a21acf36e8938
38,1764562605.0474148,0.000020377,0.000014387,0.000018935,0.000015549,0.000019135,0.000032550,825737eb118935457b3757c396c9d84a05f20d0958625b2f5002dc169a5b9942
39,1764562605.0484645,0.000021078,0.000014327,0.000018905,0.000014988,0.000018414,0.000032550,04f77e7ffcb43669282744711e09ae02f250939ebd5303cf18f5a46fa914b120
40,1764562605.0495598,0.000020468,0.000014708,0.000019075,0.000016130,0.000020357,0.000033382,bd5502024df60d2c13fc8f278f3a143dead9b5d1beedd09ae870093d33682bc2
41,1764562605.0506215,0.000020678,0.000014406,0.000018825,0.000015498,0.000019266,0.000032670,248dd20a9b26782821dbd2943216a29a14062dacdd1e467389ae668586d89a33
42,1764562605.0519094,0.000020558,0.000014747,0.000034844,0.000025798,0.000041086,0.000045795,e06b7d1446242919e4e0c78db05539f3f065382c5bd02fbaf2feea86b999613a
43,1764562605.0532184,0.000022682,0.000016280,0.000019866,0.000016751,0.000023603,0.000042830,4c62721376a154bee90fcb4580f763f0d01ec3ad614b67312083e21cb3211139
44,1764562605.054513,0.000027941,0.000016951,0.000022702,0.000017372,0.000020518,0.000037479,4d58c01fa0b99788be127767a185286b0f0a124275f9e3f57c61f25db419dd49
