Iteration,timestamp,client_keygen_s,client_enc_s,client_dec_s,server_enc_s,server_dec_s,ciphertext_bytes
1,1764562625.5809197,0.017330690,0.000505153,0.000866100,0.000046366,0.000608314,512
2,1764562625.6493914,0.064298485,0.000119591,0.000448589,0.000079387,0.000450132,512
3,1764562625.6806817,0.028182579,0.000053459,0.000444211,0.000036357,0.000388277,512
4,1764562625.7198622,0.034784967,0.000065461,0.000839962,0.000088403,0.000512948,512
5,1764562625.7441576,0.021119279,0.000053479,0.000457465,0.000040355,0.000254070,512
6,1764562625.7525716,0.005876808,0.000038932,0.000429132,0.000033742,0.000404488,512
7,1764562625.8196785,0.062204036,0.000077714,0.000890445,0.000068647,0.000481259,512
8,1764562625.838123,0.014268482,0.000083614,0.000943032,0.000069939,0.000470649,512
9,1764562625.8666923,0.025207733,0.000084386,0.000455481,0.000045183,0.000429904,512
10,1764562625.8847175,0.013995056,0.000076461,0.000646504,0.000074097,0.000448929,512
11,1764562625.9255805,0.036820218,0.000133296,0.000496537,0.000069098,0.000274006,512
12,1764562625.9509163,0.019670453,0.000174373,0.001061060,0.000047117,0.000254189,512
13,1764562625.9658952,0.010990977,0.000103652,0.000792494,0.000043069,0.000258828,512
14,1764562626.0072627,0.036177290,0.000141752,0.000803635,0.000042178,0.000262545,512
15,1764562626.1042478,0.092983372,0.000131703,0.000481149,0.000040955,0.000282542,512
16,1764562626.170212,0.061252027,0.000097290,0.000914981,0.000037610,0.000238070,512
17,1764562626.2066946,0.031861757,0.000093092,0.000682130,0.000089335,0.000537092,512
18,1764562626.3000474,0.089545200,0.000118068,0.000457064,0.000041296,0.000419626,512
19,1764562626.3527095,0.049066203,0.000088484,0.000464067,0.000068857,0.000523287,512
20,1764562626.4080627,0.051115369,0.000087401,0.001047064,0.000064609,0.000430756,512
21,1764562626.4622352,0.049300095,0.000137083,0.001244759,0.000038972,0.000242498,512
22,1764562626.506282,0.040348747,0.000132575,0.000451715,0.000035235,0.000393918,512
23,1764562626.5354726,0.025043970,0.000052006,0.000768049,0.000122556,0.000622290,512
24,1764562626.5880196,0.047639798,0.000078415,0.001171094,0.000041927,0.000281570,512
25,1764562626.6168816,0.024823954,0.000051174,0.001061671,0.000087191,0.000541800,512
26,1764562626.6625123,0.042276949,0.000068266,0.000464358,0.000035796,0.000259069,512
27,1764562626.6986442,0.031756162,0.000076050,0.000862243,0.000086470,0.000522405,512
28,1764562626.726433,0.024475310,0.000047538,0.000696527,0.000039223,0.000256644,512
29,1764562626.7601616,0.030772745,0.000072824,0.000467503,0.000034273,0.000229164,512
30,1764562626.7999706,0.036292823,0.000119330,0.000458357,0.000036908,0.000260581,512
31,1764562626.8197076,0.016477514,0.000051305,0.000461523,0.000040615,0.000357240,512
32,1764562626.8420887,0.019120476,0.000064990,0.000454460,0.000065431,0.000437999,512
33,1764562626.882021,0.036271133,0.000090367,0.000446525,0.000032680,0.000665871,512
34,1764562626.925287,0.039160892,0.000082573,0.001085165,0.000037970,0.000244442,512
35,1764562626.9432752,0.014648665,0.000060382,0.000452656,0.000039603,0.000288553,512
36,1764562626.973357,0.025853246,0.000094996,0.000474015,0.000044582,0.000464648,512
37,1764562627.036326,0.059053635,0.000125752,0.000465530,0.000036307,0.000239333,512
38,1764562627.132196,0.091238258,0.000097090,0.000769953,0.000047007,0.000450673,512
39,1764562627.1496234,0.013594336,0.000075870,0.000446575,0.000042709,0.000472112,512
40,1764562627.1808367,0.027414830,0.000097601,0.000441596,0.000042408,0.000475859,512
