Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,client_ct_bytes,server_ct_bytes,total_packet_bytes
0,1764562564.604958,server_kem_keygen,0.001171324,0.00,0.00,39895040,40591360,,800,800
1,1764562605.0011668,kem_handshake,0.000186896|0.000083274|0.000310013,0.00,0.00,42852352,42860544,768,768,1536
2,1764562605.0041888,kem_handshake,0.000055513|0.000041276|0.000085147,0.00,0.00,42868736,42868736,768,768,1536
3,1764562605.005676,kem_handshake,0.000020959|0.000016541|0.000033893,0.00,0.00,42876928,42876928,768,768,1536
4,1764562605.0071304,kem_handshake,0.000069990|0.000043219|0.000065972,0.00,0.00,42881024,42881024,768,768,1536
5,1764562605.008569,kem_handshake,0.000021469|0.000017312|0.000033172,0.00,0.00,42889216,42889216,768,768,1536
6,1764562605.0099213,kem_handshake,0.000026109|0.000017001|0.000043982,0.00,0.00,42889216,42889216,768,768,1536
7,1764562605.0113993,kem_handshake,0.000029123|0.000017282|0.000034784,0.00,0.00,42889216,42893312,768,768,1536
8,1764562605.0126488,kem_handshake,0.000021460|0.000016801|0.000033051,0.00,0.00,42897408,42897408,768,768,1536
9,1764562605.0137467,kem_handshake,0.000019546|0.000016651|0.000032780,0.00,0.00,42901504,42901504,768,768,1536
10,1764562605.0148275,kem_handshake,0.000018875|0.000015609|0.000032681,0.00,0.00,42905600,42905600,768,768,1536
11,1764562605.0161338,kem_handshake,0.000055092|0.000040615|0.000065891,0.00,0.00,42905600,42905600,768,768,1536
12,1764562605.0173373,kem_handshake,0.000019876|0.000016189|0.000032430,0.00,0.00,42905600,42905600,768,768,1536
13,1764562605.0184827,kem_handshake,0.000021429|0.000016411|0.000033452,0.00,0.00,42909696,42909696,768,768,1536
14,1764562605.0196807,kem_handshake,0.000020608|0.000016030|0.000033973,0.00,0.00,42909696,42909696,768,768,1536
15,1764562605.020756,kem_handshake,0.000019076|0.000015739|0.000032641,0.00,0.00,42913792,42913792,768,768,1536
16,1764562605.021846,kem_handshake,0.000018915|0.000015830|0.000032790,0.00,0.00,42913792,42913792,768,768,1536
17,1764562605.0230942,kem_handshake,0.000024856|0.000065080|0.000066473,0.00,0.00,42917888,42917888,768,768,1536
18,1764562605.024552,kem_handshake,0.000066533|0.000027070|0.000041908,0.00,0.00,42917888,42917888,768,768,1536
19,1764562605.0256782,kem_handshake,0.000019556|0.000016380|0.000037569,0.00,0.00,42917888,42917888,768,768,1536
20,1764562605.0269027,kem_handshake,0.000021109|0.000023804|0.000036688,0.00,0.00,42917888,42917888,768,768,1536
21,1764562605.0281723,kem_handshake,0.000019486|0.000015769|0.000032870,0.00,0.00,42917888,42917888,768,768,1536
22,1764562605.029286,kem_handshake,0.000019557|0.000015438|0.000032941,0.00,0.00,42917888,42917888,768,768,1536
23,1764562605.0303705,kem_handshake,0.000019736|0.000015448|0.000032510,0.00,0.00,42917888,42917888,768,768,1536
24,1764562605.0314174,kem_handshake,0.000019256|0.000015799|0.000032590,0.00,0.00,42917888,42917888,768,768,1536
25,1764562605.0325239,kem_handshake,0.000026509|0.000020488|0.000041457,0.00,0.00,42917888,42917888,768,768,1536
26,1764562605.0336635,kem_handshake,0.000048871|0.000015609|0.000033281,0.00,0.00,42917888,42917888,768,768,1536
27,1764562605.0348144,kem_handshake,0.000022070|0.000020568|0.000062566,0.00,0.00,42917888,42917888,768,768,1536
28,1764562605.0360498,kem_handshake,0.000021350|0.000016029|0.000033963,0.00,0.00,42917888,42917888,768,768,1536
29,1764562605.0371325,kem_handshake,0.000019235|0.000015789|0.000032741,0.00,0.00,42917888,42917888,768,768,1536
30,1764562605.038176,kem_handshake,0.000018935|0.000015779|0.000032530,0.00,0.00,42917888,42917888,768,768,1536
31,1764562605.0392303,kem_handshake,0.000018694|0.000015077|0.000032460,0.00,0.00,42917888,42917888,768,768,1536
32,1764562605.040275,kem_handshake,0.000018424|0.000016160|0.000032560,0.00,0.00,42917888,42917888,768,768,1536
33,1764562605.041403,kem_handshake,0.000025567|0.000017402|0.000033201,0.00,0.00,42917888,42917888,768,768,1536
34,1764562605.042471,kem_handshake,0.000019236|0.000015849|0.000032109,0.00,0.00,42917888,42917888,768,768,1536
35,1764562605.0436954,kem_handshake,0.000021099|0.000016120|0.000035335,0.00,0.00,42917888,42917888,768,768,1536
36,1764562605.044952,kem_handshake,0.000019997|0.000015969|0.000032890,0.00,0.00,42917888,42917888,768,768,1536
37,1764562605.046061,kem_handshake,0.000019466|0.000015839|0.000033021,0.00,0.00,42917888,42917888,768,768,1536
38,1764562605.0471315,kem_handshake,0.000019135|0.000015549|0.000032550,0.00,0.00,42917888,42917888,768,768,1536
39,1764562605.048199,kem_handshake,0.000018414|0.000014988|0.000032550,0.00,0.00,42917888,42917888,768,768,1536
40,1764562605.049289,kem_handshake,0.000020357|0.000016130|0.000033382,0.00,0.00,42917888,42917888,768,768,1536
41,1764562605.0503542,kem_handshake,0.000019266|0.000015498|0.000032670,0.00,0.00,42917888,42917888,768,768,1536
42,1764562605.0515206,kem_handshake,0.000041086|0.000025798|0.000045795,0.00,0.00,42917888,42917888,768,768,1536
43,1764562605.0529141,kem_handshake,0.000023603|0.000016751|0.000042830,0.00,0.00,42921984,42921984,768,768,1536
44,1764562605.0541701,kem_handshake,0.000020518|0.000017372|0.000037479,0.00,0.00,42930176,42930176,768,768,1536
45,1764562605.05552,kem_handshake,0.000019637|0.000015388|0.000033061,0.00,0.00,42930176,42930176,768,768,1536
46,1764562605.0569437,kem_handshake,0.000024134|0.000015830|0.000032580,0.00,0.00,42934272,42934272,768,768,1536
47,1764562605.058305,kem_handshake,0.000019887|0.000016020|0.000033101,0.00,0.00,42934272,42934272,768,768,1536
48,1764562605.059395,kem_handshake,0.000021930|0.000019806|0.000033111,0.00,0.00,42934272,42934272,768,768,1536
49,1764562605.0607872,kem_handshake,0.000038151|0.000027130|0.000062074,0.00,0.00,42934272,42934272,768,768,1536
50,1764562605.062144,kem_handshake,0.000023243|0.000016731|0.000035926,0.00,0.00,42938368,42938368,768,768,1536
51,1764562605.0634995,kem_handshake,0.000034313|0.000015760|0.000033102,0.00,0.00,42938368,42938368,768,768,1536
52,1764562605.064608,kem_handshake,0.000019796|0.000015779|0.000032660,0.00,0.00,42938368,42938368,768,768,1536
53,1764562605.065698,kem_handshake,0.000018965|0.000015479|0.000032691,0.00,0.00,42938368,42938368,768,768,1536
54,1764562605.0667624,kem_handshake,0.000018555|0.000015619|0.000032580,0.00,0.00,42938368,42938368,768,768,1536
55,1764562605.0682893,kem_handshake,0.000045915|0.000041277|0.000051906,0.00,0.00,42938368,42938368,768,768,1536
56,1764562605.0696487,kem_handshake,0.000023173|0.000016761|0.000034023,0.00,0.00,42938368,42938368,768,768,1536
57,1764562605.0707748,kem_handshake,0.000020348|0.000016200|0.000032791,0.00,0.00,42938368,42938368,768,768,1536
58,1764562605.072074,kem_handshake,0.000020317|0.000016610|0.000033653,0.00,0.00,42938368,42938368,768,768,1536
59,1764562605.0731673,kem_handshake,0.000019657|0.000015809|0.000032730,0.00,0.00,42938368,42938368,768,768,1536
60,1764562605.0742776,kem_handshake,0.000022611|0.000019997|0.000040685,0.00,0.00,42942464,42942464,768,768,1536
61,1764562605.0754213,kem_handshake,0.000020267|0.000015769|0.000032680,0.00,0.00,42942464,42942464,768,768,1536
62,1764562605.0766537,kem_handshake,0.000025377|0.000019406|0.000053399,0.00,0.00,42942464,42942464,768,768,1536
63,1764562605.0781236,kem_handshake,0.000023944|0.000017132|0.000034524,0.00,0.00,42942464,42942464,768,768,1536
64,1764562605.0796902,kem_handshake,0.000021069|0.000016380|0.000032831,0.00,0.00,42942464,42942464,768,768,1536
65,1764562605.0808208,kem_handshake,0.000019896|0.000016260|0.000032871,0.00,0.00,42942464,42942464,768,768,1536
66,1764562605.0819128,kem_handshake,0.000018935|0.000015739|0.000032811,0.00,0.00,42942464,42942464,768,768,1536
67,1764562605.0832417,kem_handshake,0.000040875|0.000031909|0.000082863,0.00,0.00,42942464,42942464,768,768,1536
68,1764562605.084479,kem_handshake,0.000020067|0.000015769|0.000039483,0.00,0.00,42946560,42946560,768,768,1536
69,1764562605.0857472,kem_handshake,0.000020408|0.000016120|0.000033562,0.00,0.00,42950656,42950656,768,768,1536
70,1764562605.0868256,kem_handshake,0.000019026|0.000015719|0.000032249,0.00,0.00,42950656,42950656,768,768,1536
71,1764562605.0883944,kem_handshake,0.000037770|0.000030757|0.000064529,0.00,0.00,42954752,42954752,768,768,1536
72,1764562605.0895607,kem_handshake,0.000019566|0.000015709|0.000032760,0.00,0.00,42954752,42954752,768,768,1536
73,1764562605.0906425,kem_handshake,0.000018834|0.000015228|0.000032690,0.00,0.00,42954752,42954752,768,768,1536
74,1764562605.0917435,kem_handshake,0.000020097|0.000015929|0.000033061,0.00,0.00,42954752,42954752,768,768,1536
75,1764562605.092998,kem_handshake,0.000025948|0.000019906|0.000066413,0.00,0.00,42954752,42954752,768,768,1536
76,1764562605.0943916,kem_handshake,0.000023343|0.000017442|0.000034764,0.00,0.00,42954752,42954752,768,768,1536
77,1764562605.0955133,kem_handshake,0.000020618|0.000016831|0.000033351,0.00,0.00,42958848,42958848,768,768,1536
78,1764562605.0965955,kem_handshake,0.000019657|0.000015619|0.000032880,0.00,0.00,42958848,42958848,768,768,1536
