Iteration,timestamp,event,time_s,cpu_before,cpu_after,mem_before,mem_after,ciphertext_bytes
0,1764562564.6322927,server_rsa_keygen,0.023671224,0.00,84.10,42201088,42291200,
1,1764562625.579479,rsa_handshake,0.000608314|0.000046366,0.00,0.00,43651072,43696128,512
2,1764562625.6483655,rsa_handshake,0.000450132|0.000079387,0.00,0.00,43696128,43696128,512
3,1764562625.6797345,rsa_handshake,0.000388277|0.000036357,0.00,0.00,43696128,43696128,512
4,1764562625.7181058,rsa_handshake,0.000512948|0.000088403,0.00,0.00,43696128,43696128,512
5,1764562625.7430975,rsa_handshake,0.000254070|0.000040355,0.00,0.00,43696128,43696128,512
6,1764562625.751716,rsa_handshake,0.000404488|0.000033742,0.00,0.00,43696128,43696128,512
7,1764562625.8176012,rsa_handshake,0.000481259|0.000068647,0.00,1487.30,43696128,43696128,512
8,1764562625.836307,rsa_handshake,0.000470649|0.000069939,0.00,0.00,43696128,43696128,512
9,1764562625.8657033,rsa_handshake,0.000429904|0.000045183,0.00,0.00,43696128,43696128,512
10,1764562625.883037,rsa_handshake,0.000448929|0.000074097,0.00,0.00,43696128,43696128,512
11,1764562625.9242141,rsa_handshake,0.000274006|0.000069098,0.00,0.00,43696128,43696128,512
12,1764562625.9488523,rsa_handshake,0.000254189|0.000047117,0.00,0.00,43696128,43696128,512
13,1764562625.9643767,rsa_handshake,0.000258828|0.000043069,0.00,0.00,43696128,43696128,512
14,1764562626.0055387,rsa_handshake,0.000262545|0.000042178,0.00,0.00,43696128,43696128,512
15,1764562626.1030514,rsa_handshake,0.000282542|0.000040955,0.00,0.00,43696128,43696128,512
16,1764562626.1684165,rsa_handshake,0.000238070|0.000037610,0.00,0.00,43696128,43696128,512
17,1764562626.2050385,rsa_handshake,0.000537092|0.000089335,0.00,0.00,43696128,43696128,512
18,1764562626.298936,rsa_handshake,0.000419626|0.000041296,0.00,0.00,43696128,43696128,512
19,1764562626.3515441,rsa_handshake,0.000523287|0.000068857,0.00,1473.30,43696128,43696128,512
20,1764562626.4063575,rsa_handshake,0.000430756|0.000064609,0.00,0.00,43696128,43696128,512
21,1764562626.4600017,rsa_handshake,0.000242498|0.000038972,0.00,0.00,43696128,43696128,512
22,1764562626.5053425,rsa_handshake,0.000393918|0.000035235,0.00,0.00,43696128,43696128,512
23,1764562626.5337667,rsa_handshake,0.000622290|0.000122556,0.00,0.00,43696128,43696128,512
24,1764562626.585896,rsa_handshake,0.000281570|0.000041927,0.00,0.00,43696128,43696128,512
25,1764562626.6151354,rsa_handshake,0.000541800|0.000087191,0.00,1372.10,43696128,43696128,512
26,1764562626.6613545,rsa_handshake,0.000259069|0.000035796,0.00,0.00,43696128,43696128,512
27,1764562626.696973,rsa_handshake,0.000522405|0.000086470,0.00,0.00,43696128,43696128,512
28,1764562626.72518,rsa_handshake,0.000256644|0.000039223,0.00,0.00,43696128,43696128,512
29,1764562626.75912,rsa_handshake,0.000229164|0.000034273,0.00,0.00,43696128,43696128,512
30,1764562626.7988956,rsa_handshake,0.000260581|0.000036908,0.00,0.00,43696128,43696128,512
31,1764562626.818573,rsa_handshake,0.000357240|0.000040615,0.00,0.00,43696128,43696128,512
32,1764562626.8410964,rsa_handshake,0.000437999|0.000065431,0.00,0.00,43696128,43696128,512
33,1764562626.8810737,rsa_handshake,0.000665871|0.000032680,0.00,0.00,43696128,43696128,512
34,1764562626.9232023,rsa_handshake,0.000244442|0.000037970,0.00,0.00,43696128,43696128,512
35,1764562626.9422534,rsa_handshake,0.000288553|0.000039603,0.00,0.00,43696128,43696128,512
36,1764562626.9720824,rsa_handshake,0.000464648|0.000044582,0.00,0.00,43696128,43696128,512
37,1764562627.0351775,rsa_handshake,0.000239333|0.000036307,0.00,0.00,43696128,43696128,512
38,1764562627.1305568,rsa_handshake,0.000450673|0.000047007,0.00,0.00,43696128,43696128,512
39,1764562627.1485105,rsa_handshake,0.000472112|0.000042709,0.00,0.00,43696128,43696128,512
40,1764562627.1797023,rsa_handshake,0.000475859|0.000042408,0.00,0.00,43696128,43696128,512
41,1764562627.2074487,rsa_handshake,0.000275408|0.000033331,0.00,0.00,43696128,43696128,512
42,1764562627.2509742,rsa_handshake,0.000274156|0.000040104,0.00,0.00,43696128,43696128,512
43,1764562627.27085,rsa_handshake,0.000431798|0.000058559,0.00,0.00,43696128,43696128,512
44,1764562627.3163996,rsa_handshake,0.000534768|0.000081591,0.00,0.00,43696128,43696128,512
45,1764562627.345321,rsa_handshake,0.000402533|0.000039574,0.00,0.00,43696128,43696128,512
46,1764562627.366864,rsa_handshake,0.000456213|0.000059350,0.00,1650.60,43696128,43696128,512
47,1764562627.385086,rsa_handshake,0.000338245|0.000048480,0.00,0.00,43696128,43696128,512
48,1764562627.4111419,rsa_handshake,0.000245113|0.000045694,0.00,0.00,43696128,43696128,512
49,1764562627.454539,rsa_handshake,0.000413995|0.000041106,0.00,0.00,43696128,43696128,512
